                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    108,                 1.2406,                 0.7465,                 1.4221,                0.95218,                0.93831,                0.97852,                0.67118,                 1.1208,                0.63967,                 1.4583,              0.0017352,              0.0017352,              0.0017352
                    109,                 1.2709,                 0.7721,                 1.4625,                0.92606,                0.95084,                0.97176,                0.64505,                 1.2068,                0.69395,                 1.4992,              0.0017327,              0.0017327,              0.0017327
                    110,                 1.2457,                0.71989,                 1.4133,                0.93239,                0.96073,                0.97952,                0.69767,                  1.059,                0.65142,                 1.4264,              0.0017302,              0.0017302,              0.0017302
                    111,                  1.226,                0.76324,                 1.4614,                0.93414,                0.97906,                0.98406,                0.69904,                 1.0645,                0.65582,                 1.4233,              0.0017278,              0.0017278,              0.0017278
                    112,                 1.2294,                0.73973,                 1.4499,                0.95575,                0.96115,                0.98461,                0.67594,                  1.097,                0.66574,                 1.4395,              0.0017253,              0.0017253,              0.0017253
                    113,                 1.2115,                0.69917,                 1.4803,                0.94879,                0.94764,                0.97018,                0.69511,                 1.0387,                 0.6311,                 1.4174,              0.0017228,              0.0017228,              0.0017228
                    114,                 1.1682,                0.71214,                 1.3842,                0.94103,                0.96084,                0.97758,                0.70179,                 1.0657,                 0.6224,                  1.431,              0.0017203,              0.0017203,              0.0017203
                    115,                 1.2574,                 0.7142,                 1.4579,                 0.9435,                0.95812,                0.97823,                0.69498,                 1.0598,                0.63203,                 1.4184,              0.0017179,              0.0017179,              0.0017179
                    116,                 1.2415,                0.75211,                 1.4449,                0.94156,                0.97011,                0.98218,                0.68523,                  1.114,                0.62797,                   1.45,              0.0017154,              0.0017154,              0.0017154
                    117,                 1.1942,                0.71382,                 1.4135,                0.95061,                0.95026,                0.98242,                0.68765,                 1.0844,                0.68432,                 1.4315,              0.0017129,              0.0017129,              0.0017129
                    118,                 1.2369,                0.73581,                 1.4575,                0.91951,                0.96335,                0.97518,                0.67384,                 1.0831,                0.64833,                  1.427,              0.0017104,              0.0017104,              0.0017104
                    119,                 1.1629,                0.67242,                 1.4073,                0.93748,                0.93455,                0.97328,                0.68954,                 1.0694,                0.66723,                 1.4168,               0.001708,               0.001708,               0.001708
                    120,                 1.0824,                0.67117,                 1.4025,                0.95202,                0.98701,                0.98602,                0.69526,                 1.0499,                0.59065,                 1.4169,              0.0017055,              0.0017055,              0.0017055
                    121,                  1.188,                0.67987,                 1.3973,                0.96325,                0.96067,                0.98824,                0.72264,                 1.0136,                0.56621,                 1.4188,               0.001703,               0.001703,               0.001703
                    122,                 1.1296,                0.68491,                 1.3939,                0.93659,                0.97382,                0.98537,                0.69077,                 1.0693,                0.61879,                 1.4127,              0.0017005,              0.0017005,              0.0017005
                    123,                 1.1332,                0.67442,                 1.3886,                 0.9082,                0.95829,                0.97296,                0.67679,                  1.116,                0.70233,                 1.4691,               0.001698,               0.001698,               0.001698
                    124,                 1.2155,                0.72195,                 1.4409,                0.93539,                0.97644,                0.98408,                 0.6739,                 1.1302,                0.61081,                  1.468,              0.0016956,              0.0016956,              0.0016956
                    125,                 1.1399,                0.64988,                 1.3648,                0.95487,                0.96597,                0.98597,                0.69188,                 1.0691,                 0.6365,                 1.4249,              0.0016931,              0.0016931,              0.0016931
                    126,                 1.1914,                0.70167,                 1.3745,                0.93393,                0.96597,                0.97686,                0.69576,                 1.0329,                0.62137,                  1.388,              0.0016906,              0.0016906,              0.0016906
                    127,                 1.1561,                0.65969,                 1.3942,                0.95358,                0.95812,                0.98457,                0.69991,                 1.0857,                0.58939,                  1.421,              0.0016882,              0.0016882,              0.0016882
                    128,                 1.1873,                0.69613,                 1.4482,                0.93391,                0.97906,                0.98464,                0.68246,                 1.1025,                0.62023,                 1.4211,              0.0016857,              0.0016857,              0.0016857
                    129,                 1.2095,                0.66309,                 1.4089,                 0.9444,                0.97644,                0.97748,                0.66203,                 1.1025,                 0.6328,                 1.4359,              0.0016832,              0.0016832,              0.0016832
                    130,                 1.1838,                0.66969,                 1.4231,                0.96544,                0.96073,                0.98328,                0.69875,                 1.0669,                 0.5702,                 1.4131,              0.0016807,              0.0016807,              0.0016807
                    131,                 1.1311,                0.65913,                  1.388,                0.95183,                0.98288,                  0.986,                0.67724,                 1.1031,                0.56911,                 1.4555,              0.0016783,              0.0016783,              0.0016783
                    132,                 1.1441,                0.67044,                  1.389,                0.97575,                0.94792,                0.98657,                 0.6687,                 1.1221,                0.61208,                 1.4295,              0.0016758,              0.0016758,              0.0016758
                    133,                 1.1404,                0.64768,                 1.3938,                 0.9447,                0.98394,                0.98502,                0.69447,                 1.0718,                0.58699,                 1.4251,              0.0016733,              0.0016733,              0.0016733
